Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SW_SPST_PTS647_Sx38,1,SW_Push,C455246
C1,CP_Elec_6.3x7.7,1,220uF,C25170691
"C10, C2",0805,2,10u,C15850
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C4, C5, C6, C7, C8, C9",0805,30,100nF,C49678
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D5, D6, D7, D8, D9",WS2812B_PTH_staggered,28,WS2812B,
D29,D_SMA,1,SS14,C2480
D30,0805,1,LED_BLUE,C965817
D31,0805,1,LED_RED,C84256
"D32, D33",D_SOD-123,2,1N4148W,C83528
J1,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
PORT1,Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04_Socket,C7433470
Q1,SOT-23_Handsoldering,1,PMOS,C42456992
Q2,SOT-23,1,2N7002K,C65189
"R1, R11, R4",0805,3,330,C17630
"R10, R12, R13, R14, R15, R9",0805,6,100k,C149504
R16,0805,1,10k,C17414
"R2, R5, R6, R7, R8",0805,5,2.2k,C17520
R3,1206,1,220mR 1W 1%,C2683384
TOUCH1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C382139
U2,ESP32-C3-Supermini,1,ESP32-C3-Supermini,
